Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Haskell, shootout/spectral-norm, 20,123.963867187500000000, 114.441711425781250000,  ,  , 6239, 45.0, 7424
Haskell, shootout/spectral-norm, 20,123.942443847656250000, 114.451049804687500000,  ,  , 6230, 42.2, 7424
Haskell, shootout/spectral-norm, 20,123.384094238281250000, 113.874389648437500000,  ,  , 6215, 43.5, 7296
Haskell, shootout/spectral-norm, 20,123.819396972656250000, 114.339660644531250000,  ,  , 6226, 42.3, 7424
Haskell, shootout/spectral-norm, 20,123.888549804687500000, 114.381286621093750000,  ,  , 6227, 44.2, 7552
Haskell, shootout/spectral-norm, 20,123.329895019531250000, 113.877990722656250000,  ,  , 6199, 42.3, 7424
Haskell, shootout/spectral-norm, 20,123.623046875000000000, 114.119445800781250000,  ,  , 6212, 42.2, 7424
Haskell, shootout/spectral-norm, 20,123.428100585937500000, 113.986206054687500000,  ,  , 6199, 41.8, 7424
Haskell, shootout/spectral-norm, 20,124.406738281250000000, 114.848083496093750000,  ,  , 6254, 44.7, 7296
Haskell, shootout/spectral-norm, 20,129.328186035156250000, 119.412048339843750000,  ,  , 6508, 42.2, 7552
